,latent_vector,label,filename
39,"[-0.2822957, 0.5379243, -0.22415373, -0.38162982, 1.358026, 0.16351336, 0.42614233, -0.044996887, 0.84498245, -0.5697783]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_076.nc
40,"[-1.2196805, 0.42755312, -0.7457299, -0.9084646, 1.5196927, -0.5764408, 0.67683905, 1.1758337, 1.3597866, -0.89439595]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_042.nc
41,"[1.2616963, -1.3015233, 1.7921909, 0.34507054, 1.2166659, 1.6057749, -0.8795245, -1.0099652, -0.49189252, -2.2302678]",8,../data/subset-copy/eastpac2_goes16_2017_331_1900_038.nc
42,"[-0.34796342, 1.1930308, -0.36917946, 0.6338998, -1.1095672, -0.02454549, -0.26649684, 0.35206082, -0.9360744, -0.1856243]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_184.nc
43,"[0.88587016, -0.95159495, 1.3152553, -0.12832104, 1.3232874, 1.1990867, -0.42267585, -1.4132297, -0.099454954, -0.80132985]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_197.nc
44,"[0.68667877, -2.2375946, 2.5824564, 1.2331042, -1.8276356, 2.1843636, -1.7981253, -1.4277298, -0.58819485, 0.4894872]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_163.nc
45,"[0.028920695, 0.08121517, 0.56161535, 0.511489, -0.7853296, 0.77970505, -0.22051156, -1.2937843, 0.61182266, 0.58859956]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_083.nc
46,"[0.2512871, -2.709692, 2.5713363, -0.27853665, 1.6419766, 2.1278632, -1.2949078, -1.0231441, 0.02567558, -1.7469181]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_117.nc
47,"[0.9797513, -1.8500961, 1.9241214, -0.60906506, 2.937787, 1.589872, -0.8266576, -1.2605253, 0.26916343, -2.2832499]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_097.nc
48,"[0.8269127, -1.5916497, 1.57279, -0.54542834, 1.1280047, 1.1332667, -0.25449306, -1.5454512, 0.43105865, 0.12854823]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_101.nc
49,"[2.010425, 0.48314774, 0.28917024, 0.63569295, -0.44017684, 0.29154372, -0.073419034, -1.0227138, -0.9610772, 0.31264836]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_107.nc
50,"[-0.8124758, 0.9587946, -0.33818048, 0.31380022, -0.121341825, 0.057724178, -0.20762956, 0.40563092, -0.93229973, -0.27086946]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_124.nc
51,"[-0.3788718, -0.5528139, 1.3661517, 1.5208489, -0.24526548, 1.8836268, -1.5807352, 0.27496305, -1.2470465, -2.6264572]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_119.nc
52,"[0.888521, -0.5691469, -0.15098637, -0.9377455, 1.4947835, -0.34192994, 1.3381081, -0.45590964, 1.1770453, 0.8092426]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_127.nc
53,"[-1.2331226, -1.4196198, 1.8875134, 0.9580223, -0.041810215, 2.261137, -1.9673934, -0.09836733, -0.83542717, -1.7716923]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_098.nc
54,"[-0.52045995, 0.89369655, -1.1101629, -0.8681829, 0.038154602, -1.2340504, 0.5910382, 1.1521099, 0.41312557, 0.06174504]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_176.nc
55,"[-0.055578418, 0.758788, -1.1726601, -0.96041006, -0.03910601, -1.4293855, 0.8736634, 1.0912414, 0.6386352, 0.32892635]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_138.nc
56,"[-0.7547663, -0.9507791, 1.4166273, 0.6703495, 0.89596266, 1.8524572, -1.3373928, -0.19226481, 0.026086837, -2.901078]",4,../data/subset-copy/eastpac2_goes16_2017_331_1900_047.nc
57,"[0.60879654, 0.4644826, -0.21773317, -0.38288963, 0.7440126, -0.095251024, 0.6936283, -0.53321075, 0.11639943, 0.7237958]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_090.nc
58,"[-1.265965, -0.044235826, 0.8078135, 1.8293514, -1.8783456, 1.4757371, -1.3855188, 0.6192864, -0.75114685, -1.6700472]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_229.nc
59,"[-1.9177077, -1.2591082, 0.5357653, -0.9628462, 2.3163211, 0.7776983, 0.5645234, -0.18595758, 2.2378142, -1.5499142]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_235.nc
60,"[0.8598447, -1.8647348, 0.7737075, -1.1039896, 0.95031166, 0.05296457, 0.9444808, -1.0572448, 0.5762032, 2.513688]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_215.nc
61,"[-0.512946, -0.97226834, 1.350192, 0.85290045, -0.88374066, 1.4707556, -0.9109785, -0.5143664, -1.0758425, 0.21354492]",8,../data/subset-copy/eastpac2_goes16_2017_331_1900_023.nc
62,"[-2.1169205, 0.06718767, -0.050124712, -0.06890236, -0.13642502, 0.5019948, 0.13103047, -0.4624191, 0.5766359, 1.5262161]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_066.nc
63,"[0.31644827, 1.1488794, -1.1128267, -0.6614856, -0.69652224, -1.2778323, 0.6254225, 0.7751993, 0.17356549, 0.45023993]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_018.nc
64,"[0.20956755, 0.7282301, -0.35548165, -0.37489223, 1.2443138, -0.26962844, 0.20708328, 0.71132445, -0.7221814, -0.7895117]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_175.nc
65,"[0.9674222, -1.0591457, 1.6725732, 0.8674796, 0.23664343, 1.7840939, -1.1823988, -0.9687761, 0.5467592, -2.7396924]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_102.nc
66,"[1.908906, -1.107172, -0.18738472, -1.1586621, 1.5274549, -0.7127571, 1.6130135, -0.5525206, 1.4757361, 1.042286]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_192.nc
67,"[1.1018198, 0.52922356, -0.50753796, -0.42263758, 0.12352866, -0.47008398, 0.8464272, -0.8768718, -0.1246319, 1.9011624]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_238.nc
68,"[-4.347446, -0.96388316, 0.81501627, 0.33291596, 0.4942949, 1.8606807, -1.3016896, 0.31328037, 0.5216947, -0.990453]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_131.nc
69,"[-2.700402, -0.65422857, 0.5754311, -0.06858076, 1.144976, 1.4032086, -0.4764064, -0.4510976, 2.21287, -1.9630991]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_096.nc
70,"[0.7793604, -0.016780019, -0.68319714, -0.9691572, 0.90429515, -0.895349, 1.4285989, 0.04628429, 0.7494717, 1.2227483]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_020.nc
71,"[-0.21117267, 0.5326162, -0.5005237, -0.59097624, 1.232385, -0.25212422, 0.6257828, 0.062022835, 0.95746493, -0.1293678]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_122.nc
72,"[0.32587513, -1.3356426, 1.9220638, 1.2438238, -1.8377491, 1.830246, -1.5081894, -0.74801177, -0.58021575, -0.2674648]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_114.nc
73,"[0.6438161, 0.73892725, -1.2083085, -0.98690724, -0.21148574, -1.6452335, 1.0207427, 1.1811664, 0.48912555, 0.36953747]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_245.nc
74,"[0.67187953, -1.0343825, 1.3175411, 0.1930743, -0.750239, 0.9730631, -0.32362378, -1.5451888, -1.1128719, 2.1891446]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_104.nc
75,"[0.6225543, -2.6272616, 2.6748264, 0.2975847, 0.42633295, 2.3201761, -1.5051556, -1.7605417, 0.5670114, -1.1163063]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_054.nc
76,"[1.1154003, 0.6836051, -0.8941014, -0.7616477, 0.25069845, -1.1701546, 0.8994029, 0.7438128, 0.28518134, 0.25951746]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_185.nc
77,"[2.0359535, -0.7803097, -0.029521585, -0.9216488, 0.91853255, -0.51407087, 1.3944749, -0.9577429, 0.90475994, 1.3408966]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_006.nc
78,"[0.10197234, -1.4087384, 1.7954115, 0.7643526, 0.77127653, 2.0196884, -1.3829756, -0.76537, 1.0771933, -3.402447]",4,../data/subset-copy/eastpac2_goes16_2017_331_1900_029.nc
79,"[0.2965947, -0.23297739, 0.43046454, -0.35539854, 0.54209137, 0.40408063, 0.42374808, -0.8680706, 0.029994383, 0.794423]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_089.nc
80,"[1.1220334, 1.3475345, -0.3291178, 0.41835457, -0.6798537, -0.48297927, -0.13688624, 0.49464515, -1.8613702, -0.45827577]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_130.nc
81,"[-0.87784654, 0.6495248, -0.5520468, -0.31384683, -0.39070475, -0.14670989, 0.61150634, -0.6640847, 0.2229232, 1.7927995]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_144.nc
82,"[-0.14451957, -1.6960384, 1.5326041, -0.61081654, 0.7451117, 1.1318076, -0.1858601, -1.57324, 0.6287143, 0.76983345]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_022.nc
83,"[-0.09879546, 0.92477715, -0.88019574, -0.75723326, 0.29274088, -1.0033271, 0.5497832, 1.0619489, 0.36807358, -0.2878945]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_139.nc
84,"[-0.24972528, 0.49648494, -0.89199257, -0.9117664, 0.61580336, -0.98218644, 0.87755275, 0.7759532, 0.7788795, 0.22277573]",7,../data/subset-copy/eastpac2_goes16_2017_331_1900_035.nc
85,"[-1.7242758, 1.0209272, -0.46918407, 0.03250566, 0.28728557, 0.051993757, -0.29675525, 0.47550425, -0.44158036, -0.523963]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_146.nc
86,"[-0.23737618, -1.0748907, 1.8476601, 1.5376263, 0.14010924, 2.2687137, -2.0274372, 0.5718814, -1.0016063, -4.245963]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_073.nc
87,"[-0.83699256, 0.5302698, -1.0679891, -1.0135576, 0.38263613, -1.1530241, 0.96729857, 1.0290322, 1.0702766, 0.15723649]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_173.nc
88,"[-0.9284261, 0.7414418, -0.7130002, -0.62933624, 0.5170684, -0.54043484, 0.49973905, 0.5795016, 0.66055644, -0.109740704]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_110.nc
89,"[-3.0699663, 0.2536692, -0.117246896, -0.0037852079, -0.46111727, 0.56988776, -0.24713272, -0.17878631, 0.47372627, 1.1569206]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_220.nc
90,"[0.8902325, -1.7831553, 1.8558118, -0.41014686, 1.501862, 1.4221675, -0.6738617, -1.4038913, -0.36613858, -0.31369978]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_180.nc
91,"[-1.3250442, 0.786754, 0.061016455, 1.1856943, -0.80184364, 0.6746539, -1.068018, 1.0046786, -2.031623, -1.3807583]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_232.nc
92,"[-2.0393453, -0.6326237, 1.0472233, 1.0411702, -0.18666458, 1.7713119, -1.5043173, 0.28163126, -0.83157855, -1.2844504]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_088.nc
