,latent_vector
360,"[2.2035968, 0.7519218]"
361,"[1.0628833, 2.0657086]"
362,"[1.8402877, 0.113941886]"
363,"[0.35330892, 0.0744551]"
364,"[1.1322885, 2.0180275]"
365,"[-1.282923, -0.3446815]"
366,"[-1.1976359, -0.89829624]"
367,"[0.58094347, -0.5973723]"
368,"[-1.1767433, -0.15058166]"
369,"[-1.8079433, -1.3699876]"
370,"[-0.7109503, -0.6182085]"
371,"[1.083117, -0.442835]"
372,"[-1.825144, -0.28318375]"
373,"[1.5763438, 1.8946934]"
374,"[-1.732383, -0.0028746203]"
375,"[-0.32967493, -0.21849644]"
376,"[0.31479162, -0.42645177]"
377,"[-0.38289618, -0.35370716]"
378,"[-0.006470382, 1.2319776]"
379,"[-1.0874087, -0.92774415]"
380,"[-1.6557683, -1.1153462]"
381,"[-1.27076, -0.95412123]"
382,"[-0.4658687, -0.25958982]"
383,"[-1.3956909, -0.15171188]"
384,"[0.8631265, -1.504937]"
385,"[1.0077789, 2.0153239]"
386,"[2.291378, 0.53441024]"
387,"[1.6841717, -2.0954459]"
388,"[-1.222089, -0.45412037]"
389,"[0.7845603, -1.057273]"
390,"[1.2835459, -0.14536202]"
391,"[-0.851313, -0.35252264]"
392,"[-0.8555722, -0.29383773]"
393,"[-1.7462445, -1.3711897]"
394,"[-1.2860098, 0.007890396]"
395,"[-0.05129248, 1.667696]"
396,"[-0.39833948, -0.40431818]"
397,"[0.8568411, -0.2881081]"
398,"[1.0359057, 2.123478]"
399,"[-0.5834601, 0.14320478]"
